name,categories,city,state,address,postalCode,latitude,longitude
Krispy Krunchy Chicken,"Carry-out food,Barbecued poultry,Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Barbecue,Convenience Stores,Spare rib restaurants,Restaurants",Burlington,NC,2109 Durham Street Ext,27217,36.12022,-79.46455
Hardee's,"Carry-out food,Restaurant,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Restaurants",Carthage,MO,2516 Grand Ave,64836,37.145145,-94.310005
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Steak and chop restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Restaurants,Pizza,Barbecued poultry,Barbecue,Pizza Place,Spare rib restaurants,Chicken restaurants,Catering",Mauldin,SC,336 W Butler Rd,29662,34.7757,-82.3181
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,Steak and chop restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Barbecued poultry,Barbecue,Spare rib restaurants,Chicken restaurants",Irmo,SC,1100 Dutch Fork Rd Ste Aa,29063,34.12407,-81.21588
Arby's,"Carry-out food,American restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",Pueblo,CO,101 S Mcculloch Blvd,81007,38.33286,-104.74508
McDonald's,"Carry-out food,Breakfast,Hot dog restaurants,American,Breakfast & Brunch,Hamburger restaurants,Fast Food,Restaurants,Frozen Yogurt Shops,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Fast food restaurants,Hamburgers,Sandwich Shops",Downey,CA,9475 Firestone Blvd,90241,33.93101,-118.11394
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Barbecue,Catering",Marysville,OH,901 W 5th St,43040,40.238182,-83.380638
McDonald's,"Carry-out food,Restaurant,Hot dog restaurants,American,Hamburger restaurants,Fast Food,Fast food restaurants,Restaurants",Compton,CA,101 W Compton Blvd,90220,33.896222,-118.225092
El Pollo Loco,"Mexican Restaurant,Restaurant,Carry-out food,Fried Chicken Joint,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Restaurants",San Juan Capistrano,CA,33953 Doheny Park Rd,92675,33.469828,-117.675737
Pizza Hut,"Pizza,Carry-out food,Take Out,Pizza Restaurants,Restaurant delivery service,American restaurants,Fast Food Restaurants,Home delivery beer and beverages,Pizza Place,Restaurants,Pizza Delivery",Chico,CA,1417 Mangrove Ave,95926,39.7448,-121.8407
SONIC Drive-In,"Burger Joint,American Restaurants,American Restaurant and Fast Food Restaurant,Carry-out food,Hot Dog Stands and Restaurants,Fast Food Restaurant,American Restaurant,Fast Food Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Crestview,FL,1230 N Ferdon Blvd,32536,30.78684,-86.55981
In-N-Out Burger,"Carry-out food,Hot dog restaurants,Burgers,American Restaurant,Hamburger restaurants,Fast Food Restaurants,Fast Food,Burger Joint, Fast Food Restaurant, and American Restaurant,Restaurants,Restaurant,Burger Joint,American Restaurants,Fast Food Restaurant,Hamburgers and Hot Dogs,Burger Joint, Fast Food Restaurant, and American Restaurant Canoga Park",Canoga Park,CA,6841 Topanga Canyon Blvd,91303,34.194981,-118.606286
Del Taco,"Restaurant,Carry-out food,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,American restaurants,Mexican restaurants,Restaurants",Citrus Heights,CA,7398 Greenback Ln,95621,38.677972,-121.292781
SUBWAY,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,wich Place,Fast Food Restaurants,Take Out Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Carmichael,CA,6426 Fair Oaks Blvd,95608,38.617938,-121.328536
KFC,"Carry-out food,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,American restaurants,Karaoke,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants",Bartow,FL,1492 N Broadway Ave,33830,27.9091,-81.8434
SONIC Drive-In,"Hamburgers & Hot Dogs,Carry-out food,Restaurant,Hot Dog Stands and Restaurants,American restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Brentwood,TN,208 Wilson Pike Cir,37027,36.03255,-86.78485
SUBWAY,"Carry-out food,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Antioch,CA,4460 Lone Tree Way,94531,37.965688,-121.782904
